ReviewerID	ProductID	Name	Review	Rating	Summary	Date
A11N155CW1UV02	B000H00VBQ	AdrianaM	I had big expectations because I love English TV, in particular Investigative and detective stuff but this guy is really boring. It didn't appeal to me at all.,	2	A little bit boring for me,	05-03-2014
AUX8EUBNTHIIU	B000H0X79O	Louis V. Borsellino	Not bad.  Didn't know any of the comedians but first time viewing put a smile on my face.  I'll check out the next season soon.,	3	Entertaining Comedy,	04-02-2014
AXM3GQLD0CHIL	B000H0X79O	Ray Shiva	Funny, interesting, a great way to pass time. I usually enjoy standup comedy and is this is a good show for me.,	4	Worth watching!,	02-07-2014
A398QSASJOIKA6	B000H29TXU	Amazon Customer	I love the variety of comics.  Great for dinner TV entertainment because of length of each episode.  Many of the featured comics have gone on to even bigger TV specials so it's great to see some of their earlier material.,	4	comedy club quality without leaving your home,	02-06-2014
A2U61O0KWJH3MM	B000H29TXU	Cathy P.	comedy is a matter of taste. this guy was a little funny but there are others that are far funnier than this guy,	3	ok,	09-05-2013
AO1Z63O9CTT95	B000H29TXU	James Westervelt	he's OK. His humor consists mainly of varying between a Vietnamese accent and a smooth articulate presentation of ironic situations.,	2	same routine he did on last comic standing,	03-06-2014
A1378ZJMWCTVT3	B000H2DMME	Alla	some comedians are very good, some not so good, and some are just not funny.  I don't know the names to chose from and watched this by picking random episodes. However, I do know some big names in stand up comedy and these were not included on prime.,	3	it was ok,	01-09-2014
A2LSZFEFTDRDIJ	B000H2DMME	debra marrero	Enjoyed some of the comedians, it was a joy to laugh after losing my father whom I was a caregiver for,	5	Some were funny,	02-10-2013
A3RXD7Z44T9DHW	B000H2DMME	Kansas	All the comedians are hilarious. I have seen them all before on Comedy Central but what a great idea to put them all together. I love Amazon prime and I love their shows. They are so much better than Netflix. I got rid of my Netflix Amazon rocks and Netflix well it thymes with rocks but in a bad way.,	5	kansas,	03-06-2014
AS2AMJR6JJZSS	B000H2DMME	mari franks	Very funny. Some of the comedians were funnier than the others. We were laughing so hard the dog thought something was wrong with us,	5	comedian clips,	02-08-2014
AYCGI5JRRISTJ	B000H2DMME	Roger Keith Ing	I loved the humor of the stand-up comics featured here. I only got the free episode listed at the beginning of the season, but it probably gives a good idea of what is contained in the rest of the season. I have actually watched several episodes of this season when I was having a free 30-day trial membership in Amazon prime, which I eventually plan to become a paid subscriber to.,	5	Very Funny,	03-09-2013
A1939G7K0LLQ8P	B000H2DMME	Rugby	It was fine - not my favorite but a comic on her way up. Some of the same cliche material I hear from others but a spark if the individual world view comes to the fore.,	3	A Matter of Preference,	04-09-2012
A2LUBUMIQEVWD3	B000H2DMME	Tristan Tristan	It is nice to see some of the more popular comedians when they were first starting out. You can tell why some made it big and some didn't. If you like stand up comedy, I recommend giving it a try.,	3	Pretty good but not great,	01-02-2014
ALZWY9L4E5GXO	B000H4YNM0	Donna Smith	Got these for my son's birthday. He says they are great! They are funny so give them a try! OK!,	5	It's always sunny 1 and 2,	07-08-2013
A3NFIJUVEAJGP	B000H4YNM0	gary blakely	maybe i just dont get it...but crude not funny and irritating most of the time....guys that dumb shouldnt be on TV,	1	this is just stupid,	05-02-2014
A2REG1E0F7XXJL	B000H4YNM0	Grace11	Gave this to a good friend and ordered another for myself.  Very funny!  I highly recommend this for anyone who enjoys irony and a good laugh.,	5	Great !,	06-12-2013
A1NF9WS7RR82MX	B000H4YNM0	J. Hill	Out of all the new comedies that have come out in the last ten years, Sunny is as the top of my list.  You need an affinity for quirky, offbeat humor to enjoy it, not to mention a high tolerance for raw language and sexual humor.  The first season consisted of just seven episodes, but established the core characters and operators of Paddy&#8217;s Pub; owners Dennis, Mac, and Charlie, and waitress/Dennis&#8217;s twin sister Dee.  In Season 2 (ten episodes), Danny Devito comes on board as Frank, Dennis and Dee&#8217;s dad.  The show&#8217;s creators (Rob McElhenney/ Mac; Glenn Howerton/Dennis; and Charlie Day/Charlie) are hilarious as actors, and also as writers.  Every character on the show stands out and gets big laughs out of me.  It&#8217;s one of those great ensemble casts that&#8217;s incredibly balanced in terms of the personalities and comedic nature of each character, resulting in a consistently high level of quality in every episode.  These first two seasons have some of my favorites, including &#8...	5	It's Always Funny in Philadelphia,	01-08-2014
A356RFKNIG043B	B000H4YNM0	K. Swanson	4.5 starsI knew nothing of this until a friend lent it to me this weekend. I laughed. Often. At things that aren't supposed to be funny, but as any serious fan of comedy knows, those can be the best laughs. I walked away feeling lighter and happier. If that ain't comedic success, what is?IASIP is like Seinfeld if the SeinFour were ten years younger, Irish, and ran a bar in South Philly. These guys have clearly studied Sein and Curb very closely, and their tight timing and topics and banter are all very Larry Davidesque...but they go places even LD won't. The best two shows of the 7-episode first season are about cancer and abortion; I howled at some moments. These guys have done what so many guys want to do: make a show about how funny they are. Except, these guys really are funny. Sometimes. But hey, no one's always hittin' homers, even on comedy 'roids, so I cut these three some slack and marvel at how tightly they work together. There's a lot to be said for working with old friends, if they have talent:...	5	It's Very Often Funny In Philly: occasionally hilarious in all the best wrong ways,	08-08-2010
A2QWF2BJ2FM4R2	B000H4YNM0	Lovblad	This series revolves around 4 friends who run a bar in Philadelphia and who go through a variety of difficult but extremely funny and often extravagant situations. I had heard of the series previously but was only convinced of buying it after seeing an intervewi with the actress. What a suprise: this is a somewhat lesscorrect version of Friends meets My Name Is Earl. I agree that this may not be correct at all since this series has no respect for conventional moarl issues such as lying about having cancer, discovering a friend's grandfather was a nazi. It also tackles the strange love men sometimes has for guns ets... In some ways it is difficult to describe and understand if you have not seen this gem of comedy.,	5	Hilarious,	10-06-2008
A1GUJPIEN0XH4Q	B000HAB4NK	Amazon Customer	Wish I had watched this show when it began back in 2001.  Very happy that it is available from Amazon to stream.  I've watched 5 seasons in 3 weeks!  Will keep you on the edge of your seat (if you suspend reality a little bit).  Highly recommend!,	5	Love it!,	08-07-2013
A5M1M9IJEQ8J2	B000HAB4NK	Bill E. Bissett	Non stop action with edge of your seat thrilling plots with a new turn every minute.  Cast of great stars keep all events seeming like weeks but actually are in 24 hours,	5	Cast of great stars keep all events seeming like weeks but actually ...,	07-02-2014
A2PUHH4ET0N0JE	B000HAB4NK	Dorothy	Season 5 24 is fantastic.  Each episode gets more and more exciting!  I keep thinking, it can't get any better than this, but guess what!  It does! Fantastic show, no show can beat 24!  I am a wreck when its over, but I love it so!,	5	Action Galore!,	06-04-2014
A7WT61P4D6W0H	B000HAB4NK	Harry Newman	hope they start changing the plot a little faster, never seen so many pole changes in one show in one week,	2	Isn't that great,	11-06-2013
A3ENBNVNDMFOPK	B000HAB4NK	JKLangstrom	Just finished the 5th season of this very riveting series. I must admit the season started off with a Bang! When you watch it you will see what I mean. However, about mid season I had to push myself a little to get through to the last 1/3 of season, and I am SO glad I did! WOW! talk about being on the edge of my seat. This season really does have more of an edge to it. A fictional Syntox gas, nerve agent,  is involved, terrorist plots, political corruption and some of the main characters are bumped off! Loved this season and would highly recommend it to anyone!,	5	Great 5th Season!,	05-10-2014
